# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:phiphi                 4:TPhi               
  291       6.477210154076e-10       3.859837195582e-13       1.016803980234e-13 
  292       6.433693028611e-10       3.817396710198e-13       1.003828728386e-13 
  293       6.389868438926e-10       3.775575929079e-13       9.909643230701e-14 
  294       6.345749491221e-10       3.734367967197e-13       9.782121131293e-14 
  295       6.301349504546e-10       3.693765267935e-13       9.655733715953e-14 
  296       6.256682011725e-10       3.653759595661e-13       9.530492946197e-14 
  297       6.211760760277e-10       3.614342028290e-13       9.406410004066e-14 
  298       6.166599713342e-10       3.575502949857e-13       9.283495281443e-14 
  299       6.121213050602e-10       3.537232043088e-13       9.161758369377e-14 
  300       6.075615169205e-10       3.499518281963e-13       9.041208047400e-14 
  301       6.029820684686e-10       3.462349924289e-13       8.921852272851e-14 
  302       5.983844431893e-10       3.425714504269e-13       8.803698170197e-14 
  303       5.937701465909e-10       3.389598825068e-13       8.686752020349e-14 
  304       5.891407062974e-10       3.353988951385e-13       8.571019249989e-14 
  305       5.844976721411e-10       3.318870202019e-13       8.456504420887e-14 
  306       5.798426162545e-10       3.284227142442e-13       8.343211219220e-14 
  307       5.751771331630e-10       3.250043577364e-13       8.231142444899e-14 
  308       5.705028398768e-10       3.216302543303e-13       8.120300000883e-14 
  309       5.658213759838e-10       3.182986301154e-13       8.010684882504e-14 
  310       5.611344037412e-10       3.150076328759e-13       7.902297166784e-14 
  311       5.564436081683e-10       3.117553313474e-13       7.795136001762e-14 
  312       5.517505887854e-10       3.085400766296e-13       7.689200395176e-14 
  313       5.470565290894e-10       3.053616064827e-13       7.584491642894e-14 
  314       5.423625119222e-10       3.022199908183e-13       7.481010992302e-14 
  315       5.376696264008e-10       2.991152738662e-13       7.378758843436e-14 
  316       5.329789678764e-10       2.960474738766e-13       7.277734739286e-14 
  317       5.282916378937e-10       2.930165828219e-13       7.177937356100e-14 
  318       5.236087441497e-10       2.900225660982e-13       7.079364493686e-14 
  319       5.189314004533e-10       2.870653622281e-13       6.982013065713e-14 
