# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:phiphi                 4:TPhi               
  307       5.932133123279e-10       4.358486360372e-13       7.823573575635e-14 
  308       5.890317383351e-10       4.313824385958e-13       7.725876706852e-14 
  309       5.848304207129e-10       4.269717542541e-13       7.629162674218e-14 
  310       5.806108024465e-10       4.226141865734e-13       7.533400800579e-14 
  311       5.763743497143e-10       4.183072361016e-13       7.438558826197e-14 
  312       5.721224631421e-10       4.140487697971e-13       7.344609484102e-14 
  313       5.678562067850e-10       4.098384553639e-13       7.251550595116e-14 
  314       5.635765667926e-10       4.056763915739e-13       7.159385874977e-14 
  315       5.592845391392e-10       4.015626434823e-13       7.068118420191e-14 
  316       5.549811296277e-10       3.974972420349e-13       6.977750700650e-14 
  317       5.506673538944e-10       3.934801836763e-13       6.888284552235e-14 
  318       5.463442374137e-10       3.895114299575e-13       6.799721169430e-14 
  319       5.420128155022e-10       3.855909071438e-13       6.712061097932e-14 
  320       5.376741333236e-10       3.817185058224e-13       6.625304227258e-14 
  321       5.333292458933e-10       3.778940805103e-13       6.539449783355e-14 
  322       5.289792180825e-10       3.741174492620e-13       6.454496321212e-14 
  323       5.246251246232e-10       3.703883932775e-13       6.370441717468e-14 
  324       5.202680501125e-10       3.667066565096e-13       6.287283163022e-14 
  325       5.159090890170e-10       3.630719452723e-13       6.205017155644e-14 
  326       5.115493456777e-10       3.594839278480e-13       6.123639492582e-14 
  327       5.071899343143e-10       3.559422340956e-13       6.043145263175e-14 
  328       5.028319790298e-10       3.524464550582e-13       5.963528841459e-14 
  329       4.984766138149e-10       3.489961425708e-13       5.884783878781e-14 
  330       4.941249825529e-10       3.455908088684e-13       5.806903296404e-14 
  331       4.897782390237e-10       3.422299261931e-13       5.729879278123e-14 
  332       4.854375469089e-10       3.389129264027e-13       5.653703262866e-14 
  333       4.811040797957e-10       3.356392005778e-13       5.578365937314e-14 
  334       4.767790211823e-10       3.324080986301e-13       5.503857228502e-14 
  335       4.724635644814e-10       3.292189289096e-13       5.430166296432e-14 
  336       4.681589130257e-10       3.260709578130e-13       5.357281526685e-14 
  337       4.638662800717e-10       3.229634093909e-13       5.285190523028e-14 
  338       4.595868888048e-10       3.198954649562e-13       5.213880100022e-14 
  339       4.553219723433e-10       3.168662626911e-13       5.143336275638e-14 
  340       4.510727737435e-10       3.138748972556e-13       5.073544263860e-14 
  341       4.468405460037e-10       3.109204193950e-13       5.004488467299e-14 
  342       4.426265520692e-10       3.080018355474e-13       4.936152469799e-14 
  343       4.384320648365e-10       3.051181074519e-13       4.868519029052e-14 
  344       4.342583671579e-10       3.022681517562e-13       4.801570069202e-14 
  345       4.301067518462e-10       2.994508396244e-13       4.735286673460e-14 
  346       4.259785216792e-10       2.966649963445e-13       4.669649076709e-14 
  347       4.218749894039e-10       2.939094009367e-13       4.604636658118e-14 
  348       4.177974777415e-10       2.911827857609e-13       4.540227933747e-14 
  349       4.137472200329e-10       2.884840702785e-13       4.476404950088e-14 
  350       4.097250576111e-10       2.858130738575e-13       4.413166681207e-14 
  351       4.057317298674e-10       2.831698318075e-13       4.350516173614e-14 
  352       4.017679723832e-10       2.805543637356e-13       4.288456192484e-14 
  353       3.978345168368e-10       2.779666733840e-13       4.226989218600e-14 
  354       3.939320909105e-10       2.754067484680e-13       4.166117445277e-14 
  355       3.900614181975e-10       2.728745605137e-13       4.105842775304e-14 
  356       3.862232181086e-10       2.703700646961e-13       4.046166817871e-14 
  357       3.824182057796e-10       2.678931996763e-13       3.987090885505e-14 
  358       3.786470919778e-10       2.654438874400e-13       3.928615991003e-14 
  359       3.749105830089e-10       2.630220331347e-13       3.870742844362e-14 
  360       3.712093806244e-10       2.606275249080e-13       3.813471849718e-14 
  361       3.675441819279e-10       2.582602337452e-13       3.756803102274e-14 
  362       3.639156792827e-10       2.559200133070e-13       3.700736385236e-14 
  363       3.603245602180e-10       2.536066997673e-13       3.645271166746e-14 
  364       3.567715073364e-10       2.513201116515e-13       3.590406596814e-14 
  365       3.532571982206e-10       2.490600496737e-13       3.536141504251e-14 
  366       3.497823053403e-10       2.468262965745e-13       3.482474393604e-14 
  367       3.463474959593e-10       2.446186169596e-13       3.429403442088e-14 
  368       3.429534320421e-10       2.424367571366e-13       3.376926496519e-14 
  369       3.396007701611e-10       2.402804449534e-13       3.325041070249e-14 
  370       3.362901614035e-10       2.381493896360e-13       3.273744340096e-14 
  371       3.330222512781e-10       2.360432816259e-13       3.223033143279e-14 
  372       3.297976796224e-10       2.339617924185e-13       3.172903974352e-14 
